
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
42:BD:EB:F2:BF:C4, 2022-03-10 10:25:55, 2022-03-10 10:25:55,  1,  -1, OPN, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
2E:16:08:E7:14:E3, 2022-03-10 10:25:08, 2022-03-10 10:25:08, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CC:1F:20, 2022-03-10 10:23:08, 2022-03-10 10:24:08,  6,  -1, OPN, ,   ,  -1,        0,        5,  10.  1.  4.182,   0, , 
C4:A8:1D:93:79:18, 2022-03-10 10:22:18, 2022-03-10 10:22:20, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:68:A0, 2022-03-10 10:21:55, 2022-03-10 10:21:55,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C6:5F:75:F1:C9:35, 2022-03-10 10:20:06, 2022-03-10 10:20:06,  7,  65, WPA2, CCMP, PSK, -72,        0,        0,   0.  0.  0.  0,   4, Y20A, 
7A:D5:6F:C8:F3:D8, 2022-03-10 10:18:29, 2022-03-10 10:18:32,  5, 180, WPA2, CCMP, PSK, -63,        7,        0,   0.  0.  0.  0,   3, Dev, 
9C:1C:12:CC:39:90, 2022-03-10 10:17:45, 2022-03-10 10:17:45, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:5F:80, 2022-03-10 10:15:31, 2022-03-10 10:15:31,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CC:23:60, 2022-03-10 10:15:44, 2022-03-10 10:15:47,  9,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
C2:FE:5B:DF:23:19, 2022-03-10 10:14:51, 2022-03-10 10:16:37, 13, 180, WPA2, CCMP, PSK, -70,       43,        0,   0.  0.  0.  0,   8, OPPO A1k, 
EA:04:1A:B8:46:47, 2022-03-10 10:15:46, 2022-03-10 10:18:02,  6,  65, WPA2, CCMP, PSK, -63,       35,        0,   0.  0.  0.  0,  14, Galaxy M31E055, 
9C:1C:12:CD:69:40, 2022-03-10 10:17:15, 2022-03-10 10:18:15, 11,  -1, OPN, ,   ,  -1,        0,       34,  10.  1.  4. 74,   0, , 
6A:8B:CD:AE:7E:0D, 2022-03-10 10:19:59, 2022-03-10 10:19:59,  4,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:59:A0, 2022-03-10 10:19:29, 2022-03-10 10:20:34, 11,  -1, OPN, ,   , -75,        0,        4,   0.  0.  0.  0,   0, , 
00:18:4D:7A:D3:10, 2022-03-10 10:15:24, 2022-03-10 10:24:23,  6,  54, OPN, ,   , -75,        4,       57,   0.  0.  0.  0,   8, KLE_Tech, 
9C:1C:12:CC:1F:C0, 2022-03-10 10:14:40, 2022-03-10 10:26:00,  1, 195, OPN, ,   , -76,        3,       17,  10.  1.  4. 74,   8, KLE_Tech, 
00:FB:BA:C5:46:03, 2022-03-10 10:26:37, 2022-03-10 10:26:37, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:4F:20, 2022-03-10 10:16:35, 2022-03-10 10:27:57,  1, 195, OPN, ,   , -80,        1,     2026,  10.  1.  1.156,   8, KLE_Tech, 
6A:EF:B0:60:01:DD, 2022-03-10 10:19:12, 2022-03-10 10:27:53, 11, 360, WPA2, CCMP, PSK, -72,       22,       12,   0.  0.  0.  0,   4, POCO, 
1C:3B:F3:84:E5:A6, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  3, 270, WPA2, CCMP, PSK, -52,     1551,       46,   0.  0.  0.  0,  14, IQL-SW-RL-1000, 
EC:AD:E0:76:19:A0, 2022-03-10 10:13:54, 2022-03-10 10:27:49, 11, 195, OPN, ,   , -69,      277,      637,  10.  2.  3.150,   7, SAMSUNG, 
88:DC:96:3B:43:1B, 2022-03-10 10:13:42, 2022-03-10 10:27:51,  1, 130, OPN, ,   , -68,       21,       71,  10.  1.  4. 48,   8, KLE_Tech, 
9C:1C:12:CC:39:00, 2022-03-10 10:13:45, 2022-03-10 10:27:50, 11, 195, OPN, ,   , -68,      153,     1923,  10.  1.  5. 25,   8, KLE_Tech, 
D8:32:E3:C4:4B:54, 2022-03-10 10:23:36, 2022-03-10 10:27:34, 11,  65, WPA2, CCMP, PSK, -68,       18,        0,   0.  0.  0.  0,   7, snehaaa, 
9C:1C:12:CC:40:20, 2022-03-10 10:13:42, 2022-03-10 10:27:51,  1, 195, OPN, ,   , -67,       12,       39,  10.  1.  2. 36,   8, KLE_Tech, 
9A:6B:FD:2D:47:EC, 2022-03-10 10:27:07, 2022-03-10 10:27:54,  1, 360, WPA2, CCMP, PSK, -66,        9,        6,   0.  0.  0.  0,  17, net khali ayt🤣, 
9C:1C:12:CC:38:80, 2022-03-10 10:13:42, 2022-03-10 10:27:52,  1, 195, OPN, ,   , -67,      138,     1041,  10.  1.  5. 37,   8, KLE_Tech, 
96:14:7A:7E:3B:A8, 2022-03-10 10:25:13, 2022-03-10 10:27:57,  2,  65, WPA2, CCMP, PSK, -65,       14,       17,   0.  0.  0.  0,   9, vivo 1713, 
D2:65:69:6F:46:21, 2022-03-10 10:25:28, 2022-03-10 10:27:55,  1, 360, WPA2, CCMP, PSK, -66,       31,        1,   0.  0.  0.  0,   6, Ganesh, 
9C:1C:12:CD:60:E0, 2022-03-10 10:13:43, 2022-03-10 10:27:53,  6, 195, OPN, ,   , -63,      157,       69,  10.  1.  1.  8,   8, KLE_Tech, 
F0:C7:7F:15:55:DF, 2022-03-10 10:25:19, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -64,       87,        0,   0.  0.  0.  0,  19, mysimplelink-1555DF, 
F0:C7:7F:18:FA:6A, 2022-03-10 10:20:01, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -64,      532,        8,  10.123. 45.  2,  19, mysimplelink-18FA6A, 
42:E9:A0:8A:D9:30, 2022-03-10 10:26:22, 2022-03-10 10:27:50, 11, 360, WPA2, CCMP, PSK, -62,       54,      121,   0.  0.  0.  0,  10, OnePlus 6t, 
BA:C5:46:03:74:6B, 2022-03-10 10:18:45, 2022-03-10 10:27:56,  6,  65, WPA2, CCMP, PSK, -64,      518,      138,   0.  0.  0.  0,   5, INDIA, 
D6:1E:D3:68:E7:C8, 2022-03-10 10:14:40, 2022-03-10 10:27:57,  2, 180, WPA2, CCMP, PSK, -60,      320,       56,   0.  0.  0.  0,   3, MSA, 
1C:3B:F3:84:DC:B7, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  3, 270, WPA2, CCMP, PSK, -55,      989,        0,   0.  0.  0.  0,   0, , 
F0:C7:7F:18:7D:5B, 2022-03-10 10:21:51, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -61,      507,        0,   0.  0.  0.  0,  19, mysimplelink-187D5B, 
9C:1C:12:CC:39:80, 2022-03-10 10:13:42, 2022-03-10 10:27:54, 11, 195, OPN, ,   , -53,     1581,    19525,  10.  1.  5. 25,   8, KLE_Tech, 
D2:4E:2B:4F:AC:52, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  1, 180, WPA2, CCMP, PSK, -30,     1385,     3389,   0.  0.  0.  0,   9, KLE_Tech , 
4A:BD:3E:2D:57:4B, 2022-03-10 10:20:04, 2022-03-10 10:27:56,  6, 180, WPA2, CCMP, PSK, -22,     1460,      170,   0.  0.  0.  0,  16, Redmi Note 7 Pro, 
16:0F:14:C9:D3:A2, 2022-03-10 10:13:49, 2022-03-10 10:27:44,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
90:CC:DF:78:B4:0A, 2022-03-10 10:16:24, 2022-03-10 10:26:53, -59,       16, (not associated) ,KLE_Tech
C2:F5:44:EF:9D:13, 2022-03-10 10:26:22, 2022-03-10 10:26:53, -65,       28, 88:DC:96:3B:43:1B,KLE_Tech,AP12
DA:A1:19:13:95:9A, 2022-03-10 10:26:51, 2022-03-10 10:26:51, -71,        3, (not associated) ,
DA:A1:19:DA:F3:42, 2022-03-10 10:26:50, 2022-03-10 10:26:50, -73,        3, (not associated) ,
5A:83:F5:BE:7C:D6, 2022-03-10 10:26:36, 2022-03-10 10:26:36, -65,        2, (not associated) ,
08:11:96:51:3B:C8, 2022-03-10 10:14:16, 2022-03-10 10:26:12, -75,       16, D6:1E:D3:68:E7:C8,
DA:A1:19:71:5E:4F, 2022-03-10 10:26:03, 2022-03-10 10:26:03, -65,        2, (not associated) ,
F8:E7:A0:3C:03:3D, 2022-03-10 10:26:00, 2022-03-10 10:26:00, -67,       37, 9C:1C:12:CC:1F:C0,
6A:10:33:5E:70:7F, 2022-03-10 10:25:51, 2022-03-10 10:25:51, -63,        1, (not associated) ,
26:CF:64:B8:A6:DE, 2022-03-10 10:25:41, 2022-03-10 10:25:41, -63,        3, (not associated) ,
74:40:BB:73:4F:5D, 2022-03-10 10:15:40, 2022-03-10 10:25:40, -69,        6, 9C:1C:12:CC:38:80,
6A:EF:B0:60:01:DD, 2022-03-10 10:25:27, 2022-03-10 10:25:27, -63,        1, (not associated) ,
6A:0E:AE:CF:07:50, 2022-03-10 10:25:23, 2022-03-10 10:25:24, -63,        3, (not associated) ,
76:25:EE:A5:FD:87, 2022-03-10 10:25:14, 2022-03-10 10:25:14, -63,        2, (not associated) ,
F0:C7:7F:15:55:DF, 2022-03-10 10:25:08, 2022-03-10 10:25:12, -67,       23, 2E:16:08:E7:14:E3,broker.hivemq.com
0E:66:61:4F:38:06, 2022-03-10 10:14:02, 2022-03-10 10:25:00, -63,       29, (not associated) ,
FE:6E:F1:D7:2B:6C, 2022-03-10 10:24:49, 2022-03-10 10:24:49, -63,        1, (not associated) ,
9A:41:C4:0B:95:37, 2022-03-10 10:24:53, 2022-03-10 10:24:53, -67,        2, (not associated) ,
80:8A:8B:36:EA:41, 2022-03-10 10:24:48, 2022-03-10 10:24:48, -67,        2, (not associated) ,initalizing..
E0:CC:F8:47:66:61, 2022-03-10 10:15:26, 2022-03-10 10:24:38, -63,      233, F0:C7:7F:18:FA:6A,KLE_Tech
8A:CB:E9:DF:60:1C, 2022-03-10 10:21:26, 2022-03-10 10:24:39, -69,       80, 9C:1C:12:CC:39:80,KLE_Tech
D8:C0:A6:A6:14:D7, 2022-03-10 10:13:57, 2022-03-10 10:24:39, -83,       23, 9C:1C:12:CC:38:80,KLE_Tech
9A:74:24:43:64:3C, 2022-03-10 10:24:26, 2022-03-10 10:24:26, -63,        3, (not associated) ,
9A:E1:BD:68:55:1D, 2022-03-10 10:19:46, 2022-03-10 10:24:29, -69,       12, (not associated) ,
86:2A:AA:70:E3:1D, 2022-03-10 10:24:13, 2022-03-10 10:24:13, -67,        4, (not associated) ,
80:2B:F9:3C:2B:F5, 2022-03-10 10:20:38, 2022-03-10 10:23:28, -59,       55, 9C:1C:12:CC:39:80,KLE_Tech
A6:34:73:0C:E4:76, 2022-03-10 10:23:17, 2022-03-10 10:23:17, -69,        1, (not associated) ,
10:63:C8:B4:83:D3, 2022-03-10 10:23:04, 2022-03-10 10:23:04, -57,        4, (not associated) ,
66:E1:95:1A:F5:06, 2022-03-10 10:23:03, 2022-03-10 10:23:03, -61,        1, (not associated) ,
CE:72:C2:F9:DD:E8, 2022-03-10 10:22:52, 2022-03-10 10:22:53, -65,        5, (not associated) ,
5A:B3:DE:A9:C6:5B, 2022-03-10 10:22:49, 2022-03-10 10:22:49, -65,        4, (not associated) ,
80:AD:16:8D:4E:53, 2022-03-10 10:17:15, 2022-03-10 10:22:12, -69,       55, 9C:1C:12:CC:1F:C0,
92:18:A1:50:3A:E6, 2022-03-10 10:22:04, 2022-03-10 10:22:05, -69,        4, (not associated) ,
AE:E9:20:D4:C4:05, 2022-03-10 10:21:49, 2022-03-10 10:21:49, -71,        1, (not associated) ,
8A:26:A2:C7:DB:6A, 2022-03-10 10:21:29, 2022-03-10 10:21:29, -65,        2, (not associated) ,
DA:A1:19:BC:8E:82, 2022-03-10 10:21:25, 2022-03-10 10:21:25, -69,        2, (not associated) ,
2E:53:15:2D:85:96, 2022-03-10 10:14:52, 2022-03-10 10:21:24, -69,       11, (not associated) ,KLE_Tech
00:0C:E7:85:CA:1F, 2022-03-10 10:21:27, 2022-03-10 10:21:27, -71,        2, (not associated) ,Giraddi
DA:A1:19:90:D3:92, 2022-03-10 10:21:03, 2022-03-10 10:21:04, -51,       12, (not associated) ,
22:B2:88:9C:16:50, 2022-03-10 10:21:01, 2022-03-10 10:21:01, -61,        2, (not associated) ,
DA:A1:19:F2:C5:FA, 2022-03-10 10:21:03, 2022-03-10 10:21:03, -67,        2, (not associated) ,
CE:97:98:C0:B1:FE, 2022-03-10 10:20:50, 2022-03-10 10:20:50, -65,        3, (not associated) ,
6A:D8:80:E6:C1:1D, 2022-03-10 10:20:50, 2022-03-10 10:20:50, -67,        2, (not associated) ,
DA:A1:19:AF:39:F0, 2022-03-10 10:20:40, 2022-03-10 10:20:40, -67,        1, (not associated) ,
CA:55:D2:84:45:EC, 2022-03-10 10:20:26, 2022-03-10 10:20:26, -65,        1, (not associated) ,
00:0C:E7:90:BB:37, 2022-03-10 10:20:14, 2022-03-10 10:20:14, -67,        2, (not associated) ,
DA:A1:19:1E:0A:CA, 2022-03-10 10:20:16, 2022-03-10 10:20:16, -69,        3, (not associated) ,
4A:BD:3E:2D:57:4B, 2022-03-10 10:20:03, 2022-03-10 10:20:03, -29,        5, (not associated) ,
82:C9:49:29:93:6B, 2022-03-10 10:20:01, 2022-03-10 10:20:02, -49,       13, (not associated) ,
82:05:EA:2A:B2:06, 2022-03-10 10:20:02, 2022-03-10 10:20:02, -69,        1, (not associated) ,
9E:84:42:DD:45:B1, 2022-03-10 10:20:01, 2022-03-10 10:20:01, -69,        5, (not associated) ,
F2:09:D4:DA:1A:26, 2022-03-10 10:19:53, 2022-03-10 10:19:53, -63,        2, (not associated) ,
DA:A1:19:C7:68:9D, 2022-03-10 10:19:52, 2022-03-10 10:19:52, -73,        1, (not associated) ,
2E:ED:74:F4:21:13, 2022-03-10 10:19:36, 2022-03-10 10:19:36, -61,        1, (not associated) ,
72:E8:74:D3:D9:6B, 2022-03-10 10:18:19, 2022-03-10 10:19:41, -69,        9, (not associated) ,KLE_Tech
30:C9:AB:D3:DB:87, 2022-03-10 10:19:37, 2022-03-10 10:19:37, -71,        1, (not associated) ,
A8:7E:EA:DC:ED:4E, 2022-03-10 10:17:30, 2022-03-10 10:19:41, -71,        3, (not associated) ,KLE_Tech
02:CF:69:D3:62:39, 2022-03-10 10:19:26, 2022-03-10 10:19:27, -45,       16, (not associated) ,
6A:DF:1D:EA:6C:DF, 2022-03-10 10:19:28, 2022-03-10 10:19:29, -71,        5, (not associated) ,
DA:A1:19:4C:DD:4D, 2022-03-10 10:19:28, 2022-03-10 10:19:28, -71,        3, (not associated) ,
56:3D:45:BC:BD:87, 2022-03-10 10:19:16, 2022-03-10 10:19:16, -59,        4, (not associated) ,
32:68:45:9D:51:D3, 2022-03-10 10:19:16, 2022-03-10 10:19:16, -63,        1, (not associated) ,
E2:CD:BB:27:0E:AF, 2022-03-10 10:19:17, 2022-03-10 10:19:17, -67,        1, (not associated) ,
66:09:03:1D:1C:1B, 2022-03-10 10:18:50, 2022-03-10 10:18:50, -51,        6, (not associated) ,
DA:A1:19:19:24:49, 2022-03-10 10:18:50, 2022-03-10 10:18:50, -57,        7, (not associated) ,
1A:1D:D9:F6:92:8A, 2022-03-10 10:18:53, 2022-03-10 10:18:53, -67,        1, (not associated) ,
